,A1,qname,A2,qname,A3,qname,B,qname
0,P12_R11_tphA1_T25,545,P12_R11_tphA2_T25,608,P12_R11_tphA3_T25,579,P12_R11_tphB_T25,527
1,P12_R17_tphA1_T25,542,P12_R17_tphA2_T25,385,P12_R17_tphA3_T25,553,P12_R17_tphB_T25,628
2,P12_R22_tphA1_T25,552,P12_R22_tphA2_T25,616,P12_R22_tphA3_T25,539,P12_R22_tphB_T25,494
3,P12_R2_tphA1_T25,517,P12_R2_tphA2_T25,547,P12_R2_tphA3_T25,485,P12_R2_tphB_T25,507
