final,qname
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P11_R22_tphA3_T25 | P11_R22_tphB_T25,37
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P11_R22_tphA3_T25 | P12_R22_tphB_T25,64
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P11_R22_tphA3_T25 | P4_R22_tphB_T25,15
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P11_R22_tphA3_T25 | P9_R22_tphB_T25,11
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P12_R22_tphA3_T25 | P11_R22_tphB_T25,29
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P12_R22_tphA3_T25 | P12_R22_tphB_T25,21
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P12_R22_tphA3_T25 | P4_R22_tphB_T25,7
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P12_R22_tphA3_T25 | P9_R22_tphB_T25,7
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P4_R22_tphA3_T25 | P11_R22_tphB_T25,8
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P4_R22_tphA3_T25 | P12_R22_tphB_T25,8
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P4_R22_tphA3_T25 | P4_R22_tphB_T25,3
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P9_R22_tphA3_T25 | P12_R22_tphB_T25,1
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P11_R22_tphA3_T25 | P11_R22_tphB_T25,35
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P11_R22_tphA3_T25 | P12_R22_tphB_T25,30
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P11_R22_tphA3_T25 | P4_R22_tphB_T25,6
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P11_R22_tphA3_T25 | P9_R22_tphB_T25,11
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P11_R22_tphB_T25,14
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P12_R22_tphB_T25,19
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P4_R22_tphB_T25,6
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P9_R22_tphB_T25,4
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P4_R22_tphA3_T25 | P11_R22_tphB_T25,2
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P4_R22_tphA3_T25 | P12_R22_tphB_T25,5
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P4_R22_tphA3_T25 | P4_R22_tphB_T25,1
