,A1,qname,A2,qname,A3,qname,B,qname
0,P11_R22_tphA1_T25,291,P11_R22_tphA2_T25,349,P11_R22_tphA3_T25,343,P11_R22_tphB_T25,253
1,P12_R22_tphA1_T25,204,P12_R22_tphA2_T25,182,P12_R22_tphA3_T25,143,P12_R22_tphB_T25,197
2,P4_R22_tphA1_T25,42,P4_R22_tphA2_T25,11,P4_R22_tphA3_T25,45,P4_R22_tphB_T25,60
3,P9_R22_tphA1_T25,8,P9_R22_tphA2_T25,3,P9_R22_tphA3_T25,14,P9_R22_tphB_T25,35
