,A1,qname,A2,qname,A3,qname,B,qname
0,P12_R11_tphA1_T25,674,P12_R11_tphA2_T25,760,P12_R11_tphA3_T25,672,P12_R11_tphB_T25,697
1,P12_R17_tphA1_T25,690,P12_R17_tphA2_T25,463,P12_R17_tphA3_T25,688,P12_R17_tphB_T25,721
2,P12_R22_tphA1_T25,674,P12_R22_tphA2_T25,773,P12_R22_tphA3_T25,656,P12_R22_tphB_T25,601
3,P12_R2_tphA1_T25,578,P12_R2_tphA2_T25,620,P12_R2_tphA3_T25,600,P12_R2_tphB_T25,597
