final,qname
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P11_R22_tphA3_T25 | P11_R22_tphB_T25,40
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P11_R22_tphA3_T25 | P12_R22_tphB_T25,55
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P11_R22_tphA3_T25 | P4_R22_tphB_T25,9
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P11_R22_tphA3_T25 | P9_R22_tphB_T25,7
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P12_R22_tphA3_T25 | P11_R22_tphB_T25,29
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P12_R22_tphA3_T25 | P12_R22_tphB_T25,17
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P12_R22_tphA3_T25 | P4_R22_tphB_T25,4
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P12_R22_tphA3_T25 | P9_R22_tphB_T25,3
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P4_R22_tphA3_T25 | P11_R22_tphB_T25,5
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P4_R22_tphA3_T25 | P12_R22_tphB_T25,9
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P4_R22_tphA3_T25 | P4_R22_tphB_T25,2
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P4_R22_tphA3_T25 | P9_R22_tphB_T25,1
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P9_R22_tphA3_T25 | P12_R22_tphB_T25,2
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P9_R22_tphA3_T25 | P4_R22_tphB_T25,1
P11_R22_tphA1_T25 | P11_R22_tphA2_T25 | P9_R22_tphA3_T25 | P9_R22_tphB_T25,1
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P11_R22_tphA3_T25 | P11_R22_tphB_T25,42
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P11_R22_tphA3_T25 | P12_R22_tphB_T25,20
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P11_R22_tphA3_T25 | P4_R22_tphB_T25,4
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P11_R22_tphB_T25,9
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P12_R22_tphB_T25,5
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P4_R22_tphB_T25,3
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P12_R22_tphA3_T25 | P9_R22_tphB_T25,4
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P4_R22_tphA3_T25 | P11_R22_tphB_T25,4
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P4_R22_tphA3_T25 | P12_R22_tphB_T25,2
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P4_R22_tphA3_T25 | P4_R22_tphB_T25,2
P11_R22_tphA1_T25 | P12_R22_tphA2_T25 | P4_R22_tphA3_T25 | P9_R22_tphB_T25,1
P11_R22_tphA1_T25 | P4_R22_tphA2_T25 | P11_R22_tphA3_T25 | P11_R22_tphB_T25,3
P11_R22_tphA1_T25 | P4_R22_tphA2_T25 | P11_R22_tphA3_T25 | P12_R22_tphB_T25,1
P11_R22_tphA1_T25 | P4_R22_tphA2_T25 | P11_R22_tphA3_T25 | P4_R22_tphB_T25,2
P11_R22_tphA1_T25 | P4_R22_tphA2_T25 | P12_R22_tphA3_T25 | P11_R22_tphB_T25,1
